name,pagenumber,page,image
Meles meles,328046,http://eol.org/328046?action=overview&controller=taxa,http://media.eol.org/content/2016/08/05/17/85551_260_190.jpg
Helarctos malayanus,328074,http://eol.org/328074?action=overview&controller=taxa,http://media.eol.org/content/2012/06/12/20/46619_260_190.jpg
Melursus ursinus,328075,http://eol.org/328075?action=overview&controller=taxa,http://media.eol.org/content/2013/12/01/03/36892_260_190.jpg
Megathymus ursus,182996,http://eol.org/182996?action=overview&controller=taxa,http://media.eol.org//assets/v2/gplus-3cbe308a370dd40fc1663ad8ea41c66f.png
Ursus maritimus,328580,http://eol.org/328580?action=overview&controller=taxa,http://media.eol.org/content/2013/04/19/01/36585_260_190.jpg
Arctodus leidy,4441502,http://eol.org/4441502?action=overview&controller=taxa,http://media.eol.org/content/2013/11/15/03/40780_260_190.jpg
Bombodes ursus,234563,http://eol.org/234563?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Aniculus ursus,4255349,http://eol.org/4255349?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Ursus arctos,1226247,http://eol.org/1226247?action=overview&controller=taxa,http://media.eol.org/content/2012/12/30/04/86349_260_190.jpg
Megathymus ursus,2683229,http://eol.org/2683229?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Megathymus ursus,2683230,http://eol.org/2683230?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Megathymus ursus,2683231,http://eol.org/2683231?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Cortinarius ursus,6711007,http://eol.org/6711007?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Ursus americanus,1265750,http://eol.org/1265750?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Notomithrax ursus,4265696,http://eol.org/4265696?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Ursus americanus,1273844,http://eol.org/1273844?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Camponotus ursus,464435,http://eol.org/464435?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
Cancer,39920,http://eol.org/39920?action=overview&controller=taxa,http://media.eol.org/content/2012/05/23/08/45655_260_190.jpg
Ursus arctos,1266086,http://eol.org/1266086?action=overview&controller=taxa,http://media.eol.org/content/2009/07/24/11/93501_260_190.jpg
Pheidole ursus,460763,http://eol.org/460763?action=overview&controller=taxa,http://pixel.quantserve.com/pixel/p-4apKRWRet-IDY.gif
